acousticness,danceability,energy,instrumentalness,valence,tempo,liveness
0.69,0.544,0.371,0,0.534,0.770540477,0.106
0.00636,0.752,0.778,0.000297,0.543,0.444857848,0.181
0.571,0.757,0.462,0,0.58,0.379069185,0.14
0.92,0.157,0.0214,0.889,0.0353,0.414094872,0.107
0.00178,0.34,0.988,0,0.66,0.632318578,0.27
0.000709,0.572,0.838,1.53E-06,0.575,0.513492425,0.0613
0.268,0.543,0.411,0.00197,0.874,0.66843253,0.153
0.118,0.81,0.93,0.000102,0.969,0.465423992,0.357
0.945,0.329,0.0603,0.428,0.241,0.60918988,0.114
0.897,0.301,0.105,0.0215,0.264,0.420989951,0.117
0.484,0.978,0.837,0,0.966,0.493291774,0.701
0.25,0.66,0.462,3.72E-05,0.57,0.380128703,0.299
0.00268,0.776,0.69,0.000866,0.694,0.472425844,0.0548
0.202,0.649,0.537,1.48E-05,0.492,0.422304082,0.0494
0.018,0.541,0.882,8.30E-06,0.701,0.495998062,0.263
0.153,0.454,0.725,0.00431,0.336,0.613830403,0.461
0.026,0.607,0.784,0.00124,0.643,0.459415951,0.16
9.98E-05,0.428,0.682,0.012,0.122,0.535031847,0.115
0.0194,0.591,0.81,0.00162,0.814,0.429749453,0.0857
0.127,0.34,0.883,0,0.679,0.770047678,0.347
0.992,0.354,0.0161,0.919,0.424,0.352651053,0.104
0.0788,0.526,0.441,7.11E-05,0.693,0.384995093,0.076
0.124,0.599,0.715,0.00169,0.947,0.675216729,0.0855
0.832,0.617,0.691,0,0.326,0.471961792,0.893
0.000347,0.399,0.989,0,0.363,0.621727507,0.226
0.816,0.442,0.372,0,0.856,0.739678941,0.226
0.00209,0.43,0.532,0.606,0.102,0.728800404,0.0818
0.506,0.471,0.231,0,0.306,0.28361813,0.102
0.344,0.533,0.375,0,0.397,0.495940568,0.113
0.809,0.789,0.536,0,0.743,0.470631234,0.12
0.992,0.0953,0.0231,0.648,0.0752,0.734902898,0.0733
0.0574,0.634,0.59,0,0.428,0.430899317,0.0979
0.678,0.623,0.301,0,0.554,0.383097816,0.25
0.0524,0.713,0.683,0.0897,0.775,0.379471637,0.0632
0.987,0.184,0.0273,0.951,0.0577,0.354589396,0.142
0.116,0.867,0.907,0,0.693,0.451030155,0.182
0.828,0.747,0.107,2.14E-05,0.529,0.512732694,0.0881
0.29,0.791,0.322,1.17E-05,0.953,0.551294213,0.078
0.108,0.711,0.94,0.00802,0.863,0.373438957,0.469
0.696,0.587,0.147,0.00032,0.252,0.33795743,0.122
0.995,0.26,0.032,0.892,0.0859,0.339029268,0.0878
0.39,0.367,0.352,0,0.382,0.740709713,0.153
0.178,0.702,0.689,0,0.964,0.393536941,0.232
0.872,0.71,0.529,0.0845,0.882,0.386021757,0.093
0.00018,0.368,0.98,0,0.944,0.628782745,0.224
0.355,0.506,0.967,0.00257,0.605,0.492577215,0.983
0.657,0.489,0.338,0.0383,0.584,0.313075189,0.145
0.221,0.647,0.579,0.000153,0.639,0.691725495,0.203
0.647,0.165,0.232,4.69E-05,0.148,0.303477929,0.121
0.585,0.849,0.521,0,0.905,0.433507045,0.106
0.032,0.33,0.34,0.00906,0.475,0.33310336,0.141
0.993,0.549,0.254,0.909,0.67,0.450356663,0.12
0.827,0.519,0.297,0.886,0.502,0.446167872,0.117
0.67,0.458,0.367,1.46E-06,0.196,0.549425684,0.0763
0.256,0.549,0.508,4.57E-06,0.259,0.484741712,0.239
3.96E-06,0.307,0.966,0.733,0.216,0.550464668,0.149
0.83,0.445,0.144,0.207,0.729,0.383578295,0.123
0.0121,0.734,0.693,0.000144,0.708,0.365796466,0.322
0.868,0.191,0.307,0.809,0.0615,0.261926762,0.0605
0.819,0.489,0.669,0.0206,0.713,0.615703039,0.281
0.469,0.488,0.44,1.41E-06,0.645,0.386247623,0.0638
0.383,0.727,0.842,1.28E-06,0.863,0.558772438,0.0568
0.402,0.714,0.41,0,0.859,0.484782778,0.325
0.605,0.692,0.754,1.00E-05,0.653,0.47933735,0.0687
0.000101,0.277,0.839,0.659,0.556,0.625743818,0.138
0.891,0.156,0.106,0.945,0.0346,0.440315884,0.154
0.0483,0.738,0.564,0.77,0.933,0.447223283,0.0724
0.216,0.775,0.688,0.0187,0.852,0.503316126,0.119
0.21,0.632,0.285,0,0.618,0.503677512,0.111
0.00219,0.527,0.944,5.83E-05,0.6,0.514399997,0.106
0.0516,0.669,0.515,0,0.886,0.423187013,0.113
0.608,0.406,0.529,0.00394,0.876,0.691179309,0.0589
0.00289,0.461,0.933,1.34E-05,0.565,0.577482372,0.0779
0.00331,0.218,0.958,8.68E-05,0.356,0.308052746,0.545
0.337,0.843,0.519,3.88E-06,0.954,0.498601683,0.103
0.000288,0.484,0.979,0.892,0.683,0.457469395,0.047
0.382,0.678,0.722,0,0.764,0.443186438,0.454
0.889,0.683,0.433,0.00616,0.422,0.462048319,0.328
0.335,0.794,0.622,0.000289,0.901,0.514584796,0.319
0.636,0.462,0.458,0.712,0.616,0.451305301,0.284
0.167,0.746,0.503,7.89E-06,0.896,0.361439302,0.213
0.183,0.762,0.267,0,0.919,0.665890508,0.0777
0.0292,0.531,0.573,0,0.349,0.575067657,0.0816
0.022,0.526,0.791,0,0.392,0.513221386,0.283
0.864,0.588,0.232,1.77E-06,0.339,0.495377956,0.106
0.319,0.447,0.856,0.0588,0.173,0.699162652,0.0406
0.413,0.506,0.636,0,0.401,0.564969385,0.155
0.652,0.685,0.287,1.03E-06,0.268,0.491558764,0.133
0.0144,0.817,0.433,0.000888,0.686,0.568414871,0.0469
0.0195,0.22,0.986,0,0.753,0.845868907,0.109
0.156,0.892,0.57,0,0.872,0.395274058,0.258
0.427,0.897,0.296,0.000636,0.517,0.405528383,0.323
0.875,0.421,0.0867,1.81E-05,0.379,0.393717634,0.119
0.000125,0.376,0.988,2.45E-06,0.596,0.370609469,0.317
0.0388,0.578,0.855,5.56E-06,0.732,0.518523081,0.345
0.371,0.724,0.301,1.66E-05,0.529,0.447933735,0.122
0.0363,0.412,0.81,1.10E-05,0.966,0.716045124,0.104
0.391,0.255,0.358,0,0.636,0.766630939,0.0808
0.143,0.726,0.616,4.37E-06,0.709,0.599440673,0.126
0.000577,0.249,0.805,0.000651,0.383,0.516584739,0.237
0.0473,0.433,0.842,0.298,0.812,0.442500626,0.0853
0.0564,0.861,0.716,4.59E-05,0.59,0.431400329,0.388
0.076,0.714,0.412,0.797,0.507,0.459009392,0.338
0.988,0.416,0.0453,0.162,0.108,0.337238765,0.0843
0.954,0.145,0.179,1.58E-06,0.196,0.288574866,0.113
0.295,0.707,0.592,0,0.584,0.83631682,0.353
0.0379,0.612,0.697,6.84E-05,0.796,0.280883096,0.0311
0.158,0.614,0.906,5.83E-06,0.918,0.595921267,0.375
0.418,0.51,0.565,0,0.515,0.546920622,0.107
0.0543,0.568,0.494,0.656,0.633,0.453354524,0.135
0.88,0.174,0.136,4.07E-05,0.0838,0.305247898,0.145
0.864,0.196,0.211,0.836,0.457,0.610582037,0.0936
0.145,0.533,0.734,0,0.466,0.400912499,0.663
0.394,0.765,0.352,0.0182,0.435,0.441946227,0.072
0.000103,0.393,0.852,0.102,0.262,0.433182619,0.0538
0.644,0.293,0.657,0,0.356,0.470762647,0.972
0.00109,0.452,0.969,0.000716,0.357,0.55928577,0.657
0.417,0.775,0.45,1.71E-06,0.898,0.401446365,0.0581
0.939,0.215,0.135,0.426,0.0386,0.492790762,0.408
0.918,0.398,0.0451,0.86,0.0699,0.310553701,0.0907
0.741,0.548,0.348,0.000115,0.807,0.34939858,0.157
0.0855,0.954,0.558,0,0.861,0.430825397,0.179
0.676,0.227,0.322,0.833,0.253,0.378773505,0.122
0.0104,0.487,0.887,1.97E-05,0.573,0.658108391,0.49
0.00304,0.541,0.742,0,0.342,0.406690567,0.124
0.375,0.753,0.569,0,0.838,0.311756952,0.224
0.103,0.579,0.489,0.901,0.659,0.366079825,0.15
0.994,0.382,0.0338,0.871,0.165,0.39598451,0.0716
0.00106,0.647,0.657,0.0003,0.756,0.470774967,0.197
0.918,0.526,0.0921,0.329,0.292,0.473859068,0.116
0.76,0.265,0.264,0.0655,0.186,0.339329054,0.189
0.976,0.783,0.185,0.065,0.65,0.487916158,0.389
0.0051,0.422,0.78,0.00682,0.923,0.669680954,0.295
0.847,0.54,0.352,0.513,0.665,0.691934934,0.0946
0.761,0.685,0.422,0.032,0.687,0.434049124,0.293
0.105,0.608,0.352,0,0.185,0.311941751,0.113
