danceability,energy,valence,tempo
0.376,0.988,0.596,0.370609469
0.578,0.855,0.732,0.518523081
0.724,0.301,0.529,0.447933735
0.412,0.81,0.966,0.716045124
0.255,0.358,0.636,0.766630939
0.726,0.616,0.709,0.599440673
0.249,0.805,0.383,0.516584739
0.433,0.842,0.812,0.442500626
0.861,0.716,0.59,0.431400329
0.714,0.412,0.507,0.459009392
0.416,0.0453,0.108,0.337238765
0.145,0.179,0.196,0.288574866
0.707,0.592,0.584,0.83631682
0.612,0.697,0.796,0.280883096
0.614,0.906,0.918,0.595921267
0.51,0.565,0.515,0.546920622
0.568,0.494,0.633,0.453354524
0.174,0.136,0.0838,0.305247898
0.196,0.211,0.457,0.610582037
0.533,0.734,0.466,0.400912499
0.765,0.352,0.435,0.441946227
0.393,0.852,0.262,0.433182619
0.293,0.657,0.356,0.470762647
0.452,0.969,0.357,0.55928577
0.775,0.45,0.898,0.401446365
0.215,0.135,0.0386,0.492790762
0.398,0.0451,0.0699,0.310553701
0.548,0.348,0.807,0.34939858
0.954,0.558,0.861,0.430825397
0.227,0.322,0.253,0.378773505
0.487,0.887,0.573,0.658108391
0.541,0.742,0.342,0.406690567
0.753,0.569,0.838,0.311756952
0.579,0.489,0.659,0.366079825
0.382,0.0338,0.165,0.39598451
0.647,0.657,0.756,0.470774967
0.526,0.0921,0.292,0.473859068
0.265,0.264,0.186,0.339329054
0.783,0.185,0.65,0.487916158
0.422,0.78,0.923,0.669680954
0.54,0.352,0.665,0.691934934
0.685,0.422,0.687,0.434049124
0.608,0.352,0.185,0.311941751
0.345,0.222,0.114,0.583580759
0.422,0.597,0.9,0.305001499
0.616,0.331,0.595,0.338047777
0.303,0.495,0.136,0.244715758
0.625,0.331,0.537,0.553889621
0.399,0.755,0.631,0.545429906
0.385,0.32,0.452,0.776766171
0.678,0.366,0.296,0.583001721
0.695,0.54,0.983,0.460163363
0.356,0.0641,0.265,0.637082302
0.627,0.716,0.708,0.437293384
0.691,0.262,0.722,0.366716357
0.275,0.631,0.109,0.567379993
0.845,0.599,0.922,0.471846805
0.398,0.794,0.345,0.659369135
0.435,0.622,0.5,0.575901309
0.668,0.537,0.753,0.407643312
0.475,0.157,0.519,0.694945115
0.613,0.279,0.955,0.678662215
0.543,0.235,0.206,0.542559351
0.494,0.357,0.292,0.390259828
0.458,0.613,0.659,0.32531303
0.64,0.714,0.926,0.404123906
0.909,0.307,0.313,0.426414846
0.482,0.386,0.29,0.520231451
0.428,0.946,0.358,0.547253262
0.332,0.232,0.151,0.50140653
0.646,0.484,0.775,0.443252145
0.695,0.182,0.308,0.525167654
0.559,0.844,0.613,0.792424858
0.571,0.935,0.583,0.622023186
0.476,0.419,0.838,0.542846818
0.655,0.437,0.674,0.525520827
0.705,0.441,0.891,0.439847725
0.25,0.0968,0.0898,0.347164558
0.639,0.443,0.355,0.390214655
0.672,0.773,0.727,0.534403528
0.43,0.671,0.866,0.744816371
0.888,0.753,0.747,0.472881683
0.845,0.38,0.599,0.458582299
0.864,0.302,0.704,0.514675143
0.833,0.66,0.858,0.399910475
0.848,0.637,0.674,0.457645981
0.51,0.882,0.925,0.612417713
0.361,0.445,0.916,0.769772532
0.278,0.07,0.0933,0.367968888
0.654,0.749,0.663,0.385397545
0.46,0.431,0.871,0.381804219
0.341,0.481,0.307,0.498564723
0.608,0.621,0.53,0.491595724
0.15,0.777,0.0778,0.667919197
0.204,0.457,0.0746,0.372785998
0.367,0.981,0.205,0.678460989
0.367,0.191,0.274,0.196281832
0.766,0.596,0.458,0.42945788
0.637,0.81,0.964,0.626708883
