id,acousticness,danceability,energy,duration_ms,instrumentalness,valence,tempo,liveness,loudness,speechiness,key
3bAbuTItBZapcLh3bt93ep,0.459,0.477,0.782,0.01857833,0.866,0.168,0.73957217,0.322,0.80212983,0.0512,0.90909091
3bODa3MQBKlWH9fix7IFHV,0.0739,0.439,0.507,0.02047338,0,0.611,0.55876833,0.212,0.81099366,0.349,0.90909091
3bRtNZNNfScmGReTA6AKRg,0.0154,0.795,0.506,0.0645313,0.938,0.0447,0.53394358,0.0805,0.76820922,0.0701,0.90909091
3d1y2U7VtHlRbiXqren9Hi,0.995,0.369,0.416,0.04939152,0.498,0.761,0.54890003,0.375,0.76103672,0.0426,0.81818182
3e83ZnSInKBnjlFHO5IogK,0.979,0.583,0.25,0.02615666,0,0.707,0.49069226,0.158,0.72331063,0.08,0.18181818
3hTCsugtAdgQGmTE6LkmVI,0.942,0.397,0.223,0.02778602,2.48E-06,0.382,0.57398761,0.153,0.66998669,0.0405,0.27272727
3kjaYn5CnAM2v00hkJY7Wb,0.895,0.474,0.444,0.04169656,0,0.92,0.32983446,0.166,0.78642236,0.0378,0.54545455
3rSNsGlrikcIdjhzIHoaXB,0.00762,0.691,0.736,0.09488269,0.818,0.356,0.54206245,0.0976,0.80866025,0.075,0.90909091
3v7bswiSS1QErhGKSc2Vgk,0.996,0.345,0.326,0.02833164,0.953,0.51,0.70200446,0.197,0.69728291,0.135,0
3vTys7kWK733lvNmrcbIiP,0.993,0.453,0.41,0.04698403,0.16,0.894,0.276259,0.292,0.77567927,0.044,0.18181818
3vygxg7h6KsLWSHLcCg5Hf,0.994,0.624,0.209,0.03735409,0,0.542,0.32719388,0.395,0.70910657,0.175,0.81818182
3xkS1O0JZ4cG4Fubs4nWZD,6.01E-05,0.808,0.488,0.05970096,0.938,0.187,0.52568509,0.0787,0.7621173,0.135,0.09090909
3yruhl8dlu3zUXc53Fnmw8,0.994,0.61,0.314,0.0360491,0.000151,0.885,0.29795858,0.569,0.7415081,0.0806,0.45454545
40j8iS1ClIh73xUFrvdEJg,0.7,0.197,0.511,0.04108382,0,0.267,0.60984694,0.0661,0.7604103,0.0413,0.36363636
41aob5c3jiEpOl5IPJ7Xd2,0.732,0.671,0.34,0.03341361,2.63E-05,0.0445,0.48378486,0.0919,0.75896954,0.167,1
43ta15kmDRuUvpRL6lpHsy,0.0113,0.666,0.922,0.05865865,0.836,0.79,0.5216154,0.046,0.8735103,0.0335,0.63636364
43xRMARR0NcTbuTEbRjm4I,0.992,0.602,0.291,0.03601404,3.83E-05,0.843,0.51214133,0.287,0.75391121,0.0375,0.18181818
44J1CFMxIyTPlevcDghAsk,0.984,0.157,0.0151,0.08239451,0.86,0.0773,0.28816009,0.0402,0.37091849,0.0494,0.63636364
46JY9OYPi4hJ7oLIS0FZt0,0.996,0.623,0.283,0.03175406,0.463,0.743,0.56412341,0.422,0.7230444,0.0753,0.63636364
4D7ECbHkFqiBGifeAIb1at,0.117,0.833,0.556,0.041363,0.908,0.167,0.42722796,0.137,0.79747866,0.128,0.90909091
4G2aGGlJfKjXoaQSsdoVEy,0.989,0.68,0.231,0.0357041,0.000247,0.645,0.48235985,0.361,0.75862501,0.169,0.27272727
4HDguZ5btEwwmBrzNtDz7z,0.000669,0.823,0.215,0.03823665,0.0906,0.857,0.39438702,0.0715,0.62322449,0.0635,0.63636364
